Zhenzhizuojian (真知灼见),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,Zhenzhizuojian (真知灼见) is an online knowledge service platform in the financial field.,"[('ITjuzi', 'https://www.itjuzi.com/company/33292914')]",11 to 50,2018-07-01,Seed,1760000,2018-08-12
Prest Loans,India,Delhi,Financial tech,consumer-lending,"Lending, loans, and credit","Prest Loans  is a company that supports businesses by providing easy, quick financing solutions as well as business Loans.","[('LinkedIn', 'https://www.linkedin.com/company/prestloans'), ('Website', 'https://prestloans.com'), ('Facebook', 'https://www.facebook.com/Prestloans')]",51 to 200,2017-02-01,Seed,100000,2018-08-11
HappyEMI,India,Bangalore,Financial tech,financial-administration,Financial accounting and admin,HappyEMI is a consumer finance company that provides shoppers with instant financing at the point of-sale in-stores and online platforms.,"[('LinkedIn', 'https://www.linkedin.com/company/happyemi'), ('Website', 'https://www.happyemi.com'), ('Facebook', 'https://www.facebook.com/happyemiapp')]",11 to 50,2017-05-15,Seed,1000000,2018-08-10
Olly Credit,India,New Delhi,Financial tech,mobile-payments,Payments and remittance,Olly Credit offers digital micro-credit app and payment card for India’s working masses.,"[('Facebook', 'https://www.facebook.com/ollycreditindia'), ('LinkedIn', 'https://www.linkedin.com/company/13372636'), ('Website', 'http://www.ollycredit.in'), ('CrunchBase', 'https://www.crunchbase.com/organization/olly-smart-credit-card')]",2 to 10,2015-01-01,Seed,0,2017-10-27
Fufeitong (付费通),China,Shanghai,Financial tech,mobile-payments,Payments and remittance,"Fufeitong (付费通) is a payment platform that focuses on providing a variety of basic living expenses such as water, electricity, coal, mobile phones etc.",[],201 to 500,2003-06-01,Strategic investment,0,2018-08-09
Ellipal (易令),China,Shenzhen,Financial tech,mobile-payments,Payments and remittance,Ellipal (易令) is the world's first one-stop mobile trading digital asset cold wallet.,"[('Weibo', 'https://weibo.com/u/6607660724?is_hot=1'), ('ITjuzi', 'https://www.itjuzi.com/company/33286154'), ('Wechat', 'gh_a3c579ca3c92')]",11 to 50,2016-09-01,Seed,1470000,2018-08-09
Pandazf (熊猫优惠),China,Shanghai,Financial tech,mobile-payments,Payments and remittance,Pandazf (熊猫优惠)is a mobile payment service provider.,"[('Wechat', 'xiongmaoshangji'), ('Website', 'http://www.pandazf.com'), ('ITjuzi', 'https://www.itjuzi.com/company/67937')]",11 to 50,2016-09-01,Strategic investment,0,2018-08-09
Balance Technology,India,Bangalore,Financial tech,financial-administration,Financial accounting and admin,Balance is a saving app that helps its users save up money in automatic and impulsive ways.,"[('AngelList', 'https://angel.co/balancetech'), ('Facebook', 'https://www.facebook.com/balanceapphq'), ('LinkedIn', 'https://www.linkedin.com/company/balancetechnology'), ('CrunchBase', 'https://www.crunchbase.com/organization/balance-the-club'), ('Twitter', 'https://twitter.com/BalanceAppHQ'), ('Android App', 'https://play.google.com/store/apps/details?id=tech.balance.mobile.android'), ('Website', 'https://www.balance.tech'), ('Blog', 'https://blog.balance.tech')]",2 to 10,2016-01-01,M&A,0,2018-08-09
Tongcheng Ticket (同城票据网),China,Nanjing,Financial tech,financial-administration,Financial accounting and admin,Tongcheng Ticket (同城票据网) is a third-party bill service platform focused on helping small and medium-sized enterprises achieve safe and efficient financing.,"[('Weibo', 'https://weibo.com/tcpj'), ('ITjuzi', 'https://www.itjuzi.com/company/9113'), ('Website', 'http://www.tcpjw.com'), ('Wechat', 'tcpjwcom')]",51 to 200,2012-07-01,Series A,0,2018-08-09
Huianjinke (慧安金科),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,Huianjinke (慧安金科) is an artificial intelligence decision-making system.,"[('Weibo', 'https://weibo.com/p/1005056420363679/home'), ('Website', 'https://www.ahi-fintech.com'), ('ITjuzi', 'https://www.itjuzi.com/company/23744095')]",11 to 50,2017-03-01,Series A,14700000,2018-08-08
Alphae (阿尔法象),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,"Alphae (阿尔法象) is a financial technology IT solution provider that provides financial enterprises with big data, SaaS-level business systems and other financial technology services through the use of artificial intelligence, big data and other related technologies.","[('Website', 'https://www.alphae.cn'), ('ITjuzi', 'https://www.itjuzi.com/company/33275067')]",201 to 500,2016-07-01,Series A,4410000,2018-08-08
Healthcrosscn (易雍健康),China,Shanghai,Financial tech,insurance-tech-insurtech,Insurance tech,Healthcrosscn (易雍健康) is a company specializing in health insurance third-party services.,"[('Website', 'http://www.healthcrosscn.com'), ('Wechat', 'gh_91b540289d7'), ('ITjuzi', 'https://www.itjuzi.com/company/59108')]",11 to 50,2013-01-01,Series A,7350000,2018-08-08
Mswipe,India,Mumbai,Financial tech,mobile-payments,Payments and remittance,"Mswipe is a mobile add-on that allows smartphones, feature phones, and tablets to accept credit card and bank transactions.","[('LinkedIn', 'https://www.linkedin.com/company/mswipe-technologies'), ('Facebook', 'https://www.facebook.com/mswipe'), ('Website', 'https://www.mswipetech.com'), ('CrunchBase', 'http://www.crunchbase.com/organization/mswipe-technologies'), ('Twitter', 'https://twitter.com/MswipeTech'), ('AngelList', 'https://angel.co/mswipe-technologies')]",501 to 1000,2011-03-01,Series C,25000000,2015-07-22
Zichan360 (资产360),China,None,Financial tech,consumer-lending,"Lending, loans, and credit",Zichan360 (资产360) is a Chinese online financial service platform dealing with non-performing loans.,"[('ITjuzi', 'http://itjuzi.com/company/26273'), ('Website', 'http://www.zichan360.com'), ('Wechat', 'zichan360'), ('Weibo', 'http://weibo.com/zichan360')]",51 to 200,2014-12-01,Series A,0,2016-12-07
Dianrong.com (点融网),China,Shanghai,Financial tech,consumer-lending,"Lending, loans, and credit","Dianrong.com (点融网) is a Chinese peer-to-peer lending platform, offering loan originations, investment products and marketplace lending solutions.","[('AngelList', 'https://angel.co/dianrong-com'), ('LinkedIn', 'https://www.linkedin.com/company/sinolending'), ('Facebook', 'https://www.facebook.com/Dianrongcom/245453808997247'), ('Website', 'http://www.dianrong.com'), ('CrunchBase', 'http://www.crunchbase.com/organization/dianrong'), ('iOS App', 'https://itunes.apple.com/us/app/dian-rong-wang/id725186555?mt=8')]",501 to 1000,2012-11-11,Series A,0,2013-12-01
Sky-line (扬帆伟业),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,"Sky-line (扬帆伟业) is a financial industry information service provider, mainly providing mobile finance multi-application trusted service platform.","[('ITjuzi', 'https://www.itjuzi.com/company/33260472'), ('Website', 'http://www.sky-line.com.cn'), ('Weibo', 'https://weibo.com/u/2678686331')]",201 to 500,2003-12-01,Bridge,0,2018-08-07
Biplusplus/B++ (币加加),China,None,Financial tech,financial-exchanges,Financial exchanges,Biplusplus (币加加) is a blockchain-based digital currency financial data service platform that combines market tools and content communities for currency exchanges.,"[('ITjuzi', 'https://www.itjuzi.com/company/33240336'), ('Website', 'https://www.biplusplus.com')]",11 to 50,2016-05-17,Seed,1460000,2018-08-02
Bizkey,Singapore,None,Financial tech,cryptocurrency,Cryptocurrency,Bizkey is building a blockchain platform for retail business,"[('Website', 'http://bizkey.io')]",2 to 10,,Series A,0,2018-08-02
Investree,Indonesia,Jakarta,Financial tech,consumer-lending,"Lending, loans, and credit",Investree is a peer-to-peer lending marketplace that connects people who want to invest money with people who want to borrow money.,"[('Instagram', 'http://www.instagram.com/investree.id'), ('Facebook', 'https://www.facebook.com/investreeIDPage'), ('Website', 'http://www.investree.id'), ('LinkedIn', 'https://www.linkedin.com/company/investree'), ('Twitter', 'https://twitter.com/investreeid'), ('AngelList', 'https://angel.co/investree')]",51 to 200,2015-11-01,Series A,0,2016-06-01
Freee,Japan,Tokyo,Financial tech,financial-administration,Financial accounting and admin,"Freee, formerly known as CFO K.K, is a cloud-based accounting software that focuses on small and medium businesses (SMB).","[('CrunchBase', 'http://www.crunchbase.com/organization/freee'), ('Android App', 'https://play.google.com/store/apps/details?id=jp.co.freee.freee&referrer=utm_source%3Dfreee_footer%26utm_medium%3Dbanner'), ('Facebook', 'https://www.facebook.com/freee.co.jp'), ('Website', 'http://www.freee.co.jp'), ('Twitter', 'https://twitter.com/freee_jp'), ('iOS App', 'https://itunes.apple.com/jp/app/quan-zi-dongnokuraudo-hui/id811207074?mt=8&ign-mpt=uo%3D4'), ('AngelList', 'https://angel.co/freee'), ('Blog', 'http://www.freee.co.jp/blog'), ('LinkedIn', 'https://www.linkedin.com/company/2861339')]",51 to 200,2012-07-01,Seed,523000,2013-03-01
51Zhaoyou.com (找油网),China,None,Financial tech,mobile-payments,Payments and remittance,"51Zhaoyou.com is a B2B oil transaction platform with features like price finding, PC and mobile payments, and logistics and finance services.","[('Weibo', 'http://weibo.com/u/5629323541'), ('Wechat', '找油视点'), ('Website', 'http://www.51zhaoyou.com'), ('ITjuzi', 'http://itjuzi.com/company/17910')]",11 to 50,2015-02-01,Seed,800000,2015-07-05
"C88 (CekAja, eCompareMo, Premiro)",Indonesia,Jakarta,Financial tech,financial-product-comparison,Financial product comparison,C88 is a financial services technology company that owns and operates Southeast Asia's financial e-commerce websites. Its subsidiaries include CekAja and Premiro in Indonesia and eCompareMo in the Philippines.,"[('Twitter', 'https://twitter.com/Compare88Group'), ('LinkedIn', 'https://www.linkedin.com/company-beta/13242401'), ('AngelList', 'https://angel.co/compare88'), ('CrunchBase', 'https://www.crunchbase.com/organization/compare88'), ('Website', 'https://www.c88fintech.com')]",201 to 500,2013-11-01,Seed,0,2015-02-18
Jdongtech (竞动科技),China,Shanghai,Financial tech,investments,Investment tools and platforms,"Jdongtech (竞动科技) is a financial data service provider, with excellent independent research and development capabilities.","[('Website', 'http://www.jdongtech.com'), ('Wechat', 'gh_16462b2e0f62'), ('ITjuzi', 'https://www.itjuzi.com/company/26762606')]",11 to 50,2014-07-01,Bridge,0,2018-07-27
BiUP,China,Beijing,Financial tech,financial-exchanges,Financial exchanges,BiUP is a converged digital currency exchange platform.,"[('Website', 'http://www.biup.com'), ('ITjuzi', 'https://www.itjuzi.com/company/33196351')]",11 to 50,2018-05-01,Early Stage,10000000,2018-07-26
Aye Finance,India,Gurgaon,Financial tech,consumer-lending,"Lending, loans, and credit","Aye Finance is a non-banking finance company which offers loans to profitable micro, small, and medium enterprises (MSMEs).","[('AngelList', 'https://angel.co/aye-finance'), ('Facebook', 'https://www.facebook.com/ayefinance'), ('CrunchBase', 'https://www.crunchbase.com/organization/aye-finance'), ('Twitter', 'https://twitter.com/ayefinance'), ('Website', 'http://www.ayefin.com'), ('Video', 'https://youtu.be/dZ8EhkoYj50'), ('LinkedIn', 'https://www.linkedin.com/company/aye-finance-pvt-ltd')]",501 to 1000,2014-01-01,Seed,1000000,2015-02-23
Fantaiai (钒钛智能),China,Shanghai,Financial tech,financial-administration,Financial accounting and admin,"Fantaiai (钒钛智能) is a financial technology company dedicated to empowering smart finance, inclusive finance and global finance.","[('Wechat', 'fantaiai2050'), ('Website', 'http://www.fantaiai.com/about.html'), ('ITjuzi', 'https://www.itjuzi.com/company/33183584'), ('Weibo', 'https://weibo.com/u/6580700380')]",11 to 50,2018-05-01,Seed,1470000,2018-07-25
FinAccel (Kredivo),Indonesia,Jakarta,Financial tech,consumer-lending,"Lending, loans, and credit",FinAccel (Kredivo) is a financial technology company creating disruptive and meaningful products in retail credit for Southeast Asia.,"[('Android App', 'https://play.google.com/store/apps/details?id=com.finaccel.android'), ('Facebook', 'https://www.facebook.com/kredivo'), ('CrunchBase', 'https://www.crunchbase.com/organization/finaccel'), ('LinkedIn', 'https://www.linkedin.com/company/finaccel-pte-ltd'), ('AngelList', 'https://angel.co/finaccel'), ('Website', 'https://finaccel.co'), ('Twitter', 'https://twitter.com/@kredivo')]",51 to 200,2015-10-01,Series A,0,2017-10-04
Haoyoudai (好又贷),China,Guangzhou,Financial tech,consumer-lending,"Lending, loans, and credit",Haoyoudai (好又贷) is the P2P lending platform.,"[('Wechat', 'hydbestcom'), ('Weibo', 'https://weibo.com/u/6426603886'), ('ITjuzi', 'https://www.itjuzi.com/company/16923'), ('Website', 'http://www.hydbest.com')]",51 to 200,2014-03-01,Series B,11850000,2018-07-24
Lixiangjia (理享家),China,Beijing,Financial tech,investments,Investment tools and platforms,Lixiangjia (理享家) focus on providing one-stop overseas asset allocation services to customers.  ,"[('Website', 'https://www.lxjcf.com '), ('ITjuzi', 'https://www.itjuzi.com/company/32246706')]",201 to 500,2013-09-01,Strategic investment,1470000,2018-07-23
Udomedia (比财),China,Beijing,Financial tech,mobile-payments,Payments and remittance,"Udomedia (比财) is a platform for bank financial management price comparison. It currently covers nearly 100 selling banks and more than 1,000 wealth management products.","[('Weibo', 'https://weibo.com/u/6340949958'), ('Website', 'http://www.udomedia.com.cn'), ('ITjuzi', 'https://www.itjuzi.com/company/71610'), ('Wechat', 'besharp888')]",11 to 50,2006-11-01,Series B,14700000,2018-07-23
Caidoushi (财斗士),China,Shanghai,Financial tech,financial-administration,Financial accounting and admin,"Caidoushi (财斗士) is an internet trading platform that provides registered companies, agent bookkeeping, tax consulting services, and online accounting orders.","[('ITjuzi', 'https://www.itjuzi.com/company/33168929'), ('Website', 'https://www.caidoushi.com')]",51 to 200,2014-04-01,Seed,1470000,2018-07-23
Qiankecaijing (千氪财经),China,Chengdu,Financial tech,investments,Investment tools and platforms,Qiankecaijing (千氪财经) is a financial comprehensive information service platform.,"[('Wechat', 'KG_COM'), ('ITjuzi', 'https://www.itjuzi.com/company/33158248'), ('Website', 'https://www.kg.com/'), ('Weibo', 'https://weibo.com/u/6392207969')]",51 to 200,2017-09-01,Seed,0,2018-07-23
Zhongyexingrong  (中业兴融),China,Shenzhen,Financial tech,consumer-lending,"Lending, loans, and credit",Zhongyexingrong  (中业兴融) is a network loan information intermediary platform.,"[('Website', 'https://www.zyxr.com/'), ('ITjuzi', 'https://www.itjuzi.com/company/33128615'), ('Weibo', 'https://weibo.com/zyxr20150202'), ('Wechat', 'zyxrp2p')]",201 to 500,2015-02-01,Series A,7410000,2018-07-23
PaySense,India,Mumbai,Financial tech,consumer-lending,"Lending, loans, and credit","PaySense is a fintech startup that gives loans and credit options in the range of Rs 5,000 to Rs 1 lakh through the website or mobile platform.","[('Website', 'https://www.gopaysense.com'), ('Android App', 'https://play.google.com/store/apps/details?id=com.gopaysense.android.boost'), ('AngelList', 'https://angel.co/paysense-india'), ('Video', 'https://youtu.be/KnyPLd2nf9o'), ('Instagram', 'https://www.instagram.com/gopaysense'), ('Twitter', 'https://twitter.com/gopaysense'), ('Google+', 'https://plus.google.com/u/1/107792810909831613343'), ('Facebook', 'https://www.facebook.com/gopaysense'), ('LinkedIn', 'https://www.linkedin.com/company-beta/6576347'), ('CrunchBase', 'https://www.crunchbase.com/organization/paysense')]",51 to 200,2015-07-01,Series A,5300000,2017-05-18
"FoodStory by Living Mobile Co., Ltd.",Thailand,None,Financial tech,mobile-payments,Payments and remittance,FoodStory is a place where restaurant owners and food lovers meet.,"[('Website', 'http://www.foodstory.co'), ('Facebook', 'https://www.facebook.com/FoodStoryApp'), ('LinkedIn', 'https://www.linkedin.com/company/living-mobile-co.-ltd.'), ('iOS App', 'https://itunes.apple.com/th/app/foodstory-owner-point-sale/id691131484?mt=8http://'), ('Twitter', 'https://twitter.com/FoodStoryTeam')]",2 to 10,2012-05-15,Seed,1000000,2018-07-21
Newtop100  (新经济100人),China,Beijing,Financial tech,investments,Investment tools and platforms,Newtop100  (新经济100人) is a venture capital information service platform.,"[('Website', 'http://www.newtop100.com'), ('Wechat', 'qiyejiagc'), ('Weibo', 'https://weibo.com/newtop100'), ('ITjuzi', 'https://www.itjuzi.com/company/16349')]",11 to 50,2014-05-01,Series A,5930000,2018-07-19
Fumi Technology (福米科技),China,Changsha,Financial tech,investments,Investment tools and platforms,"Fumi Technology is a Fin-Tech company focusing on providing financial services for personal investors, supplies services of information, trading and assistance trading.","[('Facebook', 'https://www.facebook.com/WeBullGlobal'), ('Website', 'http://www.webull.com'), ('Wechat', 'webull2016'), ('ITjuzi', 'http://www.itjuzi.com/company/28112')]",51 to 200,2016-02-01,Series A,14500000,2017-05-03
Yuandao (前海原道),China,Shenzhen,Financial tech,investments,Investment tools and platforms, Yuandao (前海原道) is an internet banking integrated service provider that provides internet financial services for SMEs.,"[('ITjuzi', 'https://www.itjuzi.com/company/33140543'), ('Website', 'http://www.csiijf.com'), ('Wechat', 'YD-171027')]",51 to 200,2017-10-01,Bridge,0,2018-07-19
Guangxindai (广信贷),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,"Guangxindai (广信贷) is a internet financial service platform, providing wealth management products to users.","[('Weibo', 'https://weibo.com/guangxindai'), ('Wechat', 'guangxindai'), ('Website', 'http://www.guangxindai.com'), ('ITjuzi', 'https://www.itjuzi.com/company/6571219')]",51 to 200,2013-06-01,Series B,85300000,2018-07-19
Xiaoniuzaixian (小牛在线),China,Shenzhen,Financial tech,consumer-lending,"Lending, loans, and credit","Xiaoniuzaixian (小牛在线) is an online intelligent lending platform that leverages advanced internet finance technologies such as big data risk control and mobile payment to make investment and financing easier, more transparent, and more scientific.","[('ITjuzi', 'https://www.itjuzi.com/company/10744'), ('Website', 'https://www.xiaoniu88.com')]",201 to 500,2014-01-01,Strategic investment,0,2018-07-19
Liechuang (猎创),China,Shanghai,Financial tech,mobile-payments,Payments and remittance,Liechuang (猎创) is a startup company engaged in blockchain digital asset investment and management.,"[('ITjuzi', 'https://www.itjuzi.com/company/33126541')]",11 to 50,2015-05-01,Seed,0,2018-07-18
Wacai (挖财),China,Hangzhou,Financial tech,financial-administration,Financial accounting and admin,Wacai is a Chinese mobile app developer and the creator of a personal finance management mobile app among other financial applications.,"[('Twitter', 'https://twitter.com/wacaiapp'), ('LinkedIn', 'https://www.linkedin.com/company-beta/10315161'), ('Website', 'http://www.wacai.com'), ('ITjuzi', 'http://itjuzi.com/company/1795'), ('Weibo', 'http://weibo.com/wacai'), ('Wechat', 'wacaibaobao'), ('iOS App', 'https://itunes.apple.com/us/app/wa-cai-ji-zhang-li-cai-xiao/id386756967'), ('CrunchBase', 'https://www.crunchbase.com/organization/wacai'), ('Android App', 'https://play.google.com/store/apps/details?id=com.wacai365&hl=zh-CN')]",1001 to 5000,2009-06-01,Series A,0,2013-09-23
OfBusiness,India,Gurgaon,Financial tech,consumer-lending,"Lending, loans, and credit",OfBusiness serves as a single-window for SMEs in the manufacturing and infrastructure space to provide unsecured credit lines as an alternative to financing.,"[('Website', 'https://www.ofbusiness.com'), ('CrunchBase', 'https://www.crunchbase.com/organization/ofbusiness'), ('AngelList', 'https://angel.co/ofbusiness'), ('LinkedIn', 'https://www.linkedin.com/company/10485930'), ('Facebook', 'https://www.facebook.com/OfBusiness-469041243273685'), ('Twitter', 'https://twitter.com/ofbusiness_in')]",51 to 200,2015-08-01,Series A,5000000,2016-02-25
Star Wealth (星际财富),China,Shenzhen,Financial tech,investments,Investment tools and platforms,Star Wealth (星际财富) is a financial wealth management service provider.,"[('Website', 'http://www.qhxjcf.com'), ('ITjuzi', 'https://www.itjuzi.com/company/33097707')]",201 to 500,2016-02-24,Series A,7520000,2018-07-18
Quantex (宽拓科技),China,Beijing,Financial tech,financial-administration,Financial accounting and admin,Quantex (宽拓科技) is a financial technology company that specializes in providing business platform solutions and data analysis services to financial institutions in the field of large asset management.,"[('Wechat', 'Quantex2013'), ('ITjuzi', 'https://www.itjuzi.com/company/33106948'), ('Website', 'http://www.iquantex.com')]",201 to 500,2015-03-01,Series A,0,2018-07-16
Xueqiu/Snowball Finance (雪球),China,Beijing,Financial tech,investments,Investment tools and platforms,"Xueqiu, also known as Snowball Finance, is an internet financial information service provider that is focused on investment solutions.","[('Wechat', 'xueqiujinghua'), ('Twitter', 'https://twitter.com/snowballfinance'), ('CrunchBase', 'http://www.crunchbase.com/organization/snowball-finance'), ('ITjuzi', 'http://itjuzi.com/company/960'), ('Website', 'http://xueqiu.com'), ('LinkedIn', 'https://www.linkedin.com/company/snowball-finance-ltd.'), ('AngelList', 'https://angel.co/snowball-finance'), ('Weibo', 'http://weibo.com/u/2183570524')]",11 to 50,2010-01-01,Series B,10000000,2013-06-01
Nineseals,China,None,Financial tech,financial-administration,Financial accounting and admin,Nineseals is a blockchain company.,[],11 to 50,2018-07-01,Seed,1470000,2018-07-14
Paidy (Exchange Corporation),Japan,Tokyo,Financial tech,mobile-payments,Payments and remittance,"Paidy, a service provided by Exchange Corporation, aggregates the most popular non-credit card payments into a single, real-time, 100% guaranteed payment network and claimed to be the fastest way to checkout with just a phone number and email address at over 600,000 online stores.","[('LinkedIn', 'https://www.linkedin.com/company/exchange-corporation'), ('AngelList', 'https://angel.co/paidy'), ('Website', 'https://paidy.com'), ('CrunchBase', 'https://www.crunchbase.com/organization/exchange-corporation-k-k'), ('Facebook', 'https://www.facebook.com/paidy.japan')]",11 to 50,2008-01-01,Series C,55000000,2018-07-14
PPmoney (万惠理财),China,Guangzhou,Financial tech,consumer-lending,"Lending, loans, and credit",PPmoney is a P2P lending service.,"[('iOS App', 'https://itunes.apple.com/cn/app/pp-li-cai-shang-shi-xi-tou/id905910288'), ('Website', 'http://www.ppmoney.com'), ('Weibo', 'http://weibo.com/szgxcj'), ('Wechat', 'wanhuitourong'), ('LinkedIn', 'https://www.linkedin.com/company/6668719'), ('ITjuzi', 'http://www.itjuzi.com/company/10482')]",501 to 1000,2012-12-12,Series B,54300000,2016-12-12
McXtra,India,Mumbai,Financial tech,insurance-tech-insurtech,Insurance tech,McXtra is a cutting-edge insurtech platform that enables corporate employees and their families to consolidate all their insurance policies in a secure vault.,"[('LinkedIn', 'https://www.linkedin.com/company/mcxtracorp'), ('Blog', 'https://www.mcxtra.com/blog'), ('Twitter', 'https://twitter.com/mcxtracorp'), ('Video', 'https://www.youtube.com/watch?v=I9fS73Kd6A0'), ('Facebook', 'https://www.facebook.com/mcxtracorp'), ('Website', 'https://www.mcxtra.com')]",11 to 50,2014-01-01,Bridge,1300000,2018-07-13
Duanrong.com (短融网),China,Beijing,Financial tech,consumer-lending,"Lending, loans, and credit",Duanrong.com is a short-term lending and financial services platform.,"[('Website', 'http://www.duanrong.com'), ('Weibo', 'http://weibo.com/duanrongwang'), ('iOS App', 'https://itunes.apple.com/us/app/duan-rong-wang/id987184227'), ('Wechat', 'duanrongwangD'), ('LinkedIn', 'https://www.linkedin.com/company-beta/12913871'), ('ITjuzi', 'http://www.itjuzi.com/company/12537')]",0,2014-05-01,Series C,45100000,2018-07-13
